"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"216","B02512",106,2015,1,9,23,"Manhattan","Lower East Side","10002","2015/1/9 23:51",23,"N/A",""
"217","B02512",76,2015,1,10,0,"Manhattan","East Village","10009","2015/1/10 0:51",23,"N/A",""
"218","B02512",41,2015,1,10,1,"Manhattan","Chinatown","10013","2015/1/10 1:51",21.9,"N/A",""
"219","B02512",33,2015,1,10,2,"Manhattan","Midtown Center","10176","2015/1/10 2:51",19.9,"N/A",""
"220","B02512",16,2015,1,10,3,"Manhattan","Union Sq","10003","2015/1/10 3:51",19.9,"N/A",""
"221","B02512",16,2015,1,10,4,"Manhattan","Two Bridges/Seward Park","10002","2015/1/10 4:51",19,"N/A",""
"222","B02512",10,2015,1,10,5,"Manhattan","TriBeCa/Civic Center","11201","2015/1/10 5:51",18,"N/A",""
"223","B02512",7,2015,1,10,6,"Manhattan","Upper West Side North","10024","2015/1/10 6:51",17.1,"N/A",""
"224","B02512",15,2015,1,10,7,"Manhattan","Lincoln Square West","10023","2015/1/10 7:51",16,"N/A",""
"225","B02512",29,2015,1,10,8,"Manhattan","SoHo","10013","2015/1/10 8:51",16,"N/A",""
"226","B02512",45,2015,1,10,9,"Manhattan","Upper East Side South","10075","2015/1/10 9:51",17.1,"N/A",""
"227","B02512",48,2015,1,10,10,"Manhattan","Alphabet City","10009","2015/1/10 10:51",18,"N/A",""
"228","B02512",75,2015,1,10,11,"Manhattan","East Harlem South","10029","2015/1/10 11:51",19,"N/A",""
"229","B02512",82,2015,1,10,12,"Manhattan","Little Italy/NoLiTa","10012","2015/1/10 12:51",19.9,"N/A",""
"230","B02512",90,2015,1,10,13,"Manhattan","Hudson Sq","10013","2015/1/10 13:51",21.9,"N/A",""
"231","B02512",79,2015,1,10,14,"Manhattan","Greenwich Village North","10014","2015/1/10 14:51",23,"N/A",""
"232","B02512",98,2015,1,10,15,"Manhattan","Upper East Side South","10075","2015/1/10 15:51",23,"N/A",""
"233","B02512",104,2015,1,10,16,"Manhattan","Clinton East","10019","2015/1/10 16:51",21.9,"N/A",""
"234","B02512",127,2015,1,10,17,"Manhattan","Greenwich Village North","10014","2015/1/10 17:51",21,"N/A",""
"235","B02512",132,2015,1,10,18,"Manhattan","Battery Park City","10080","2015/1/10 18:51",19.9,"N/A",""
"236","B02512",151,2015,1,10,19,"Manhattan","Greenwich Village South","10014","2015/1/10 19:51",19.9,"N/A",""
"237","B02512",138,2015,1,10,20,"Manhattan","Lenox Hill West","10065","2015/1/10 20:51",19.9,"N/A",""
